StartDate,EndDate,ResponseId,Q4,Q5,Q5_24_TEXT,Q7,Q51,Q9,Q10,Q37,Q38,Q39,Q42,Q42_15_TEXT,Q31,Q44,Q46,Q48,Q23,Q24,Q25
2023-09-13 9:38:20,2023-09-13 9:39:15,R_3kGmLUloHCq8ds0,Yes,Designer,,No,Prefer not to respond,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",I don't know,Disagree,Neutral,Strongly agree,I would not feel comfortable with any of the options listed above,,,Neutral,Neutral,Neutral,50-64,No,Female
2023-09-13 11:02:19,2023-09-13 11:04:37,R_3k1CAKp2ynu4T6N,Yes,"Paint,Drawing",,Yes,No,None of the above,No,Disagree,Agree,Agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art",,,Strongly disagree,Strongly disagree,Strongly agree,50-64,No,Female
2023-09-13 11:42:23,2023-09-13 11:46:04,R_Rq1eIcnfcnFSqn7,Somewhat,"Craft,Jewelry ",,Yes,No,None of the above,No,Neutral,Neutral,Neutral,A flat fee,,,Disagree,Disagree,Strongly agree,65 or older,No,Female
2023-09-13 12:00:12,2023-09-13 12:02:13,R_2YqUy3dSdVNeFWK,Yes,"Photography,Paint,Drawing,Craft,Music ",,Yes,No,AI art generally,No,Strongly agree,Strongly agree,Strongly agree,I would donate the use of my artwork to train AI art models (no compensation),,,Strongly agree,Strongly agree,Strongly disagree,30-49,No,Female
2023-09-13 12:06:39,2023-09-13 12:14:13,R_UinoFH6IFRZyAvf,Somewhat,"Paint,Craft",,Yes,No,AI art generally,No,Disagree,Agree,Disagree,"I don’t need to profit, but I don’t want anyone else to profit from my art",,,Strongly agree,Strongly disagree,Strongly agree,65 or older,No,Female
2023-09-13 12:40:04,2023-09-13 12:43:40,R_vT7uJlmviOX5W9z,Somewhat,"Paint,Drawing",,I’m not sure,Prefer not to respond,None of the above,I don't know,Neutral,Neutral,Neutral,I would not feel comfortable with any of the options listed above,,,Agree,Agree,Agree,18 - 29,No,Female
2023-09-13 13:10:03,2023-09-13 13:12:15,R_3qvRYLfsCZ1wW5t,Yes,Music,,No,No,None of the above,No,Strongly agree,Neutral,Neutral,"Other, please specify",None,,Neutral,Strongly disagree,Agree,18 - 29,No,Male
2023-09-13 13:12:23,2023-09-13 13:16:39,R_3Gly7jxM4pHvEVk,Somewhat,Writing,,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",No,Strongly disagree,Agree,Strongly disagree,A portion of any profit from people who profit from derivative works made using the model,,,Strongly agree,Disagree,Strongly agree,30-49,No,Female
2023-09-13 13:18:33,2023-09-13 13:20:50,R_0q8mRlKmcE3R4Vr,Somewhat,Music,,No,No,AI art generally,No,Neutral,Neutral,Neutral,I would not feel comfortable with any of the options listed above,,,Neutral,Neutral,Neutral,18 - 29,Yes,Male
2023-09-13 13:18:18,2023-09-13 13:20:58,R_Rsq9aDIL2efxFId,Yes,"Photography,Drawing,Graphic design ,Illustration ,Craft,Designer ,Writing ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",Yes,Strongly agree,Neutral,Neutral,A portion of any profit made,,,Strongly agree,Strongly agree,Strongly disagree,30-49,Yes,Female
2023-09-13 13:20:40,2023-09-13 13:28:34,R_9pmS9R3Dp7YIckV,Somewhat,Writing,,Yes,No,"AI art generally,Large Language Models,Text-to-image models",No,Disagree,Agree,Disagree,"A portion of any profit made,A flat fee",,,Agree,Disagree,Agree,30-49,Yes,Male
2023-09-13 13:27:31,2023-09-13 13:32:53,R_1BOTwXVyH8T4ZZe,Yes,"Paint,Drawing,Designer ,Writing ",,Yes,No,AI art generally,No,Neutral,Agree,Neutral,I would not feel comfortable with any of the options listed above,,,Neutral,Neutral,Neutral,65 or older,Yes,Female
2023-09-13 13:31:07,2023-09-13 13:34:04,R_2CBXyhswklm7x2m,Somewhat,"Drawing,Music ",,Yes,No,Text-to-image models,No,Agree,Disagree,Strongly agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art",,,Disagree,Agree,Disagree,30-49,Yes,Male
2023-09-13 13:31:46,2023-09-13 13:36:35,R_33EIscVwDgmlqTq,Somewhat,"Photography,Paint,Drawing,Graphic design ,Illustration ,Craft,Maker,Designer ,Jewelry ,Writing ",,Yes,No,AI art generally,No,Neutral,Agree,Disagree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art,A flat fee",,,Strongly agree,Disagree,Strongly agree,18 - 29,No,Female
2023-09-13 13:35:36,2023-09-13 13:37:07,R_3qXcOHLm4hxn4kb,Yes,"Tattoo,Graphic design ,Designer ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Strongly agree,Strongly agree,Strongly agree,"A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model)",,,Strongly agree,Strongly agree,Strongly agree,18 - 29,No,Female
2023-09-13 13:35:34,2023-09-13 13:38:53,R_22KulrppGIA1NpS,Somewhat,"Craft,Not an artist, but I am an art enthusiast  ",,No,No,None of the above,No,Neutral,Neutral,Neutral,I would not feel comfortable with any of the options listed above,,,Neutral,Neutral,Neutral,30-49,Yes,Female
2023-09-13 13:35:56,2023-09-13 13:38:54,R_a8FCIvV7xcVNqAp,Yes,"Paint,Drawing,Craft,Music ",,Yes,Yes,AI art generally,No,Neutral,Neutral,Neutral,"A portion of any profit made,A flat fee,A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model)",,,Neutral,Neutral,Neutral,30-49,No,Female
2023-09-13 13:36:12,2023-09-13 13:40:47,R_PIEwYVqMhm7lwE9,Somewhat,"Tattoo,Craft",,No,No,None of the above,I don't know,Neutral,Neutral,Neutral,"Other, please specify",,,Neutral,Neutral,Neutral,30-49,No,Female
2023-09-13 13:44:40,2023-09-13 13:46:56,R_2YFDkHQ3R5J8j2u,Somewhat,"Paint,Tattoo,Graphic design ",,Yes,No,AI art generally,Yes,Agree,Agree,Agree,I would donate the use of my artwork to train AI art models (no compensation),,,Agree,Agree,Agree,18 - 29,Yes,Female
2023-09-13 13:44:58,2023-09-13 13:50:53,R_3CIcH2yKxqDmp7Y,Somewhat,Craft,,Yes,No,AI art generally,No,Neutral,Disagree,Agree,"A flat fee from the model creators, for the use of my artwork as training data",,,Agree,Neutral,Agree,65 or older,No,Male
2023-09-15 9:44:41,2023-09-15 9:49:19,R_tR5XOZPDfjfX8uB,Somewhat,"Photography,Drawing,Not an artist, but I am an art enthusiast  ,Not an artist",,,,None of the above,No,Neutral,Neutral,Agree,"I don’t need to profit, but I don’t want anyone else to profit from my art",,,Agree,Neutral,Neutral,50-64,No,Female
2023-09-15 9:56:55,2023-09-15 10:04:16,R_2eX3XfkG0iybFE5,Somewhat,"Drawing,Writing ",,Yes,No,None of the above,No,Strongly agree,Neutral,Neutral,"I don’t need to profit, but I don't want for-profit-companies to profit from my art,I don’t need to profit, but I don’t want anyone else to profit from my art,A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model,Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,More development of AI,Agree,Neutral,Neutral,65 or older,No,Female
2023-09-15 10:10:53,2023-09-15 10:17:35,R_1oio9l0xEwIjAxL,Yes,Drawing,,No,No,None of the above,No,Strongly agree,Strongly agree,Agree,"A flat fee from the model creators, for the use of my artwork as training data",,,Strongly agree,Strongly agree,Agree,50-64,No,Female
2023-09-15 10:35:17,2023-09-15 10:40:09,R_1H05TS3aLalGEtS,Yes,"Photography,Craft",,Yes,No,AI art generally,Yes,Strongly agree,Strongly agree,Strongly agree,I would not feel comfortable with any of the options listed above,,,Strongly agree,Strongly agree,Strongly agree,65 or older,Yes,Female
2023-09-15 10:02:10,2023-09-15 10:53:40,R_2zRZW37ckbZRvt2,Yes,"Photography,Paint,Drawing,Illustration ,Cinematography ,Writing ,Music ,Performance ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",No,Agree,Agree,Agree,"I don't need to profit,I don’t need to profit, but I don't want for-profit-companies to profit from my art,I don’t need to profit, but I don’t want anyone else to profit from my art,A portion of any profit from people who profit from derivative works made using the model,I would not feel comfortable with any of the options listed above",,,Strongly agree,Disagree,Agree,18 - 29,No,Female
2023-09-15 10:52:25,2023-09-15 10:55:56,R_3JC8aQJcDy9ZON2,Somewhat,"Photography,Textile ,Craft,Maker",,Yes,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Neutral,Neutral,Neutral,A portion of any profit made From the model creators,,,Strongly agree,Strongly disagree,Strongly agree,50-64,No,Female
2023-09-15 10:52:59,2023-09-15 10:57:53,R_2aauL1qgT26rH8j,Somewhat,"Textile ,Craft,Maker",,Yes,No,"AI art generally,Text-to-image models",No,Neutral,Neutral,Disagree,"A portion of any profit made,A portion of any profit from people who profit from derivative works made using the model,A flat fee,A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model),Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,Agencys that protect artists from the theft of their intellectual property.,Strongly agree,Disagree,Strongly agree,30-49,No,Female
2023-09-15 11:02:27,2023-09-15 11:04:05,R_3m7wgHRNKSjzTWc,Yes,Tattoo,,Yes,Yes,AI art generally,Yes,Agree,Strongly agree,Strongly agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art",,,Strongly agree,Strongly agree,Strongly agree,30-49,Yes,Male
2023-09-15 11:15:51,2023-09-15 11:19:52,R_3L0ZPaBu2cW42IA,Somewhat,Drawing,,Yes,No,None of the above,No,Disagree,Neutral,Disagree,A portion of any profit from people who profit from derivative works made using the model,,,Agree,Agree,Strongly agree,65 or older,No,Female
