,StartDate,EndDate,ResponseId,Artist,Art_practice,Purchase_art,Professional_artist,AI_models_familiarity,Used_AI_art_models,Styleof_ownedby_AI_user,Styleof_ownedby_OG_artist,Styleof_ownedby_AI_company,Fair_compensation_tax_text,Required_disclosure,AI_pos_development_4art,AI_threat_2art_workers,Age,POC,Gender_identity,compensation_I_dont_need_profit,compensation_Other,compensation_donate_to_trainer,compensation_flat_fee,compensation_nocomp_but_no_forprofit,compensation_nocompt_noprofit4anyone,compensation_not_comfortable_with_any_listed_options,compensation_portion_from_derivatives,compensation_portion_from_model_creators,compensation_portion_of_any_profit_made,compensation_tax
0,2023-09-13 9:38:20,2023-09-13 9:39:15,R_3kGmLUloHCq8ds0,Yes,designer,No,Prefer not to respond,AI_Deeplearning_GANS,I don't know,1.0,2.0,3.0,,2.0,2.0,2.0,50-64,No,Female,False,False,False,False,False,False,True,False,False,False,False
1,2023-09-13 11:02:19,2023-09-13 11:04:37,R_3k1CAKp2ynu4T6N,Yes,paint,Yes,No,none,No,1.0,,,,1.0,1.0,3.0,50-64,No,Female,False,False,False,False,True,False,False,False,False,False,False
2,2023-09-13 11:42:23,2023-09-13 11:46:04,R_Rq1eIcnfcnFSqn7,Somewhat,craft,Yes,No,none,No,2.0,2.0,2.0,,1.0,1.0,3.0,65 or older,No,Female,False,False,False,True,False,False,False,False,False,False,False
3,2023-09-13 12:00:12,2023-09-13 12:02:13,R_2YqUy3dSdVNeFWK,Yes,paint,Yes,No,AI art generally,No,3.0,3.0,3.0,,3.0,3.0,1.0,30-49,No,Female,False,False,True,False,False,False,False,False,False,False,False
4,2023-09-13 12:06:39,2023-09-13 12:14:13,R_UinoFH6IFRZyAvf,Somewhat,paint,Yes,No,AI art generally,No,1.0,,1.0,,3.0,1.0,3.0,65 or older,No,Female,False,False,False,False,False,True,False,False,False,False,False
5,2023-09-13 12:40:04,2023-09-13 12:43:40,R_vT7uJlmviOX5W9z,Somewhat,paint,I’m not sure,Prefer not to respond,none,I don't know,2.0,2.0,2.0,,,,,18 - 29,No,Female,False,False,False,False,False,False,True,False,False,False,False
6,2023-09-13 13:10:03,2023-09-13 13:12:15,R_3qvRYLfsCZ1wW5t,Yes,music,No,No,none,No,3.0,2.0,2.0,,2.0,1.0,,18 - 29,No,Male,False,True,False,False,False,False,False,False,False,False,False
7,2023-09-13 13:12:23,2023-09-13 13:16:39,R_3Gly7jxM4pHvEVk,Somewhat,writing,Yes,Yes,AI art generally,No,1.0,,1.0,,3.0,1.0,3.0,30-49,No,Female,False,False,False,False,False,False,False,True,False,False,False
8,2023-09-13 13:18:33,2023-09-13 13:20:50,R_0q8mRlKmcE3R4Vr,Somewhat,music,No,No,AI art generally,No,2.0,2.0,2.0,,2.0,2.0,2.0,18 - 29,Yes,Male,False,False,False,False,False,False,True,False,False,False,False
9,2023-09-13 13:18:18,2023-09-13 13:20:58,R_Rsq9aDIL2efxFId,Yes,Photography,Yes,No,AI art generally,Yes,3.0,2.0,2.0,,3.0,3.0,1.0,30-49,Yes,Female,False,False,False,False,False,False,False,False,False,True,False
10,2023-09-13 13:20:40,2023-09-13 13:28:34,R_9pmS9R3Dp7YIckV,Somewhat,writing,Yes,No,AI art generally,No,1.0,,1.0,,,1.0,,30-49,Yes,Male,False,False,False,True,False,False,False,False,False,False,False
11,2023-09-13 13:27:31,2023-09-13 13:32:53,R_1BOTwXVyH8T4ZZe,Yes,paint,Yes,No,AI art generally,No,2.0,,2.0,,2.0,2.0,2.0,65 or older,Yes,Female,False,False,False,False,False,False,True,False,False,False,False
12,2023-09-13 13:31:07,2023-09-13 13:34:04,R_2CBXyhswklm7x2m,Somewhat,music,Yes,No,text to image,No,,1.0,3.0,,1.0,,1.0,30-49,Yes,Male,False,False,False,False,True,False,False,False,False,False,False
13,2023-09-13 13:31:46,2023-09-13 13:36:35,R_33EIscVwDgmlqTq,Somewhat,paint,Yes,No,AI art generally,No,2.0,,1.0,,3.0,1.0,3.0,18 - 29,No,Female,False,False,False,False,True,False,False,False,False,False,False
14,2023-09-13 13:35:36,2023-09-13 13:37:07,R_3qXcOHLm4hxn4kb,Yes,tattoo,Yes,Yes,AI art generally,Yes,3.0,3.0,3.0,,3.0,3.0,3.0,18 - 29,No,Female,False,False,False,True,False,False,False,False,False,False,False
15,2023-09-13 13:35:34,2023-09-13 13:38:53,R_22KulrppGIA1NpS,Somewhat,craft,No,No,none,No,2.0,2.0,2.0,,2.0,2.0,2.0,30-49,Yes,Female,False,False,False,False,False,False,True,False,False,False,False
16,2023-09-13 13:35:56,2023-09-13 13:38:54,R_a8FCIvV7xcVNqAp,Yes,paint,Yes,Yes,AI art generally,No,2.0,2.0,2.0,,2.0,2.0,2.0,30-49,No,Female,False,False,False,True,False,False,False,False,False,False,False
17,2023-09-13 13:36:12,2023-09-13 13:40:47,R_PIEwYVqMhm7lwE9,Somewhat,tattoo,No,No,none,I don't know,2.0,2.0,2.0,,2.0,2.0,2.0,30-49,No,Female,False,True,False,False,False,False,False,False,False,False,False
18,2023-09-13 13:44:40,2023-09-13 13:46:56,R_2YFDkHQ3R5J8j2u,Somewhat,paint,Yes,No,AI art generally,Yes,,,,,,,,18 - 29,Yes,Female,False,False,True,False,False,False,False,False,False,False,False
19,2023-09-13 13:44:58,2023-09-13 13:50:53,R_3CIcH2yKxqDmp7Y,Somewhat,craft,Yes,No,AI art generally,No,2.0,1.0,,,,2.0,,65 or older,No,Male,False,False,False,True,False,False,False,False,False,False,False
20,2023-09-15 9:44:41,2023-09-15 9:49:19,R_tR5XOZPDfjfX8uB,Somewhat,Photography,,,none,No,2.0,2.0,,,,2.0,2.0,50-64,No,Female,False,False,False,False,False,True,False,False,False,False,False
21,2023-09-15 9:56:55,2023-09-15 10:04:16,R_2eX3XfkG0iybFE5,Somewhat,writing,Yes,No,none,No,3.0,2.0,2.0,More development of AI,,2.0,2.0,65 or older,No,Female,False,False,False,False,True,False,False,False,False,False,False
22,2023-09-15 10:10:53,2023-09-15 10:17:35,R_1oio9l0xEwIjAxL,Yes,drawing,No,No,none,No,3.0,3.0,,,3.0,3.0,,50-64,No,Female,False,False,False,True,False,False,False,False,False,False,False
23,2023-09-15 10:35:17,2023-09-15 10:40:09,R_1H05TS3aLalGEtS,Yes,Photography,Yes,No,AI art generally,Yes,3.0,3.0,3.0,,3.0,3.0,3.0,65 or older,Yes,Female,False,False,False,False,False,False,True,False,False,False,False
24,2023-09-15 10:02:10,2023-09-15 10:53:40,R_2zRZW37ckbZRvt2,Yes,paint,Yes,No,AI art generally,No,,,,,3.0,1.0,,18 - 29,No,Female,False,False,False,False,True,False,False,False,False,False,False
25,2023-09-15 10:52:25,2023-09-15 10:55:56,R_3JC8aQJcDy9ZON2,Somewhat,Photography,Yes,No,AI_Deeplearning_GANS,No,2.0,2.0,2.0,,3.0,1.0,3.0,50-64,No,Female,False,False,False,False,False,False,False,False,True,False,False
26,2023-09-15 10:52:59,2023-09-15 10:57:53,R_2aauL1qgT26rH8j,Somewhat,craft,Yes,No,AI art generally,No,2.0,2.0,1.0,Agencys that protect artists from the theft of their intellectual property.,3.0,1.0,3.0,30-49,No,Female,False,False,False,False,False,False,False,True,False,False,False
27,2023-09-15 11:02:27,2023-09-15 11:04:05,R_3m7wgHRNKSjzTWc,Yes,tattoo,Yes,Yes,AI art generally,Yes,,3.0,3.0,,3.0,3.0,3.0,30-49,Yes,Male,False,False,False,False,True,False,False,False,False,False,False
28,2023-09-15 11:15:51,2023-09-15 11:19:52,R_3L0ZPaBu2cW42IA,Somewhat,drawing,Yes,No,none,No,1.0,2.0,1.0,,,,3.0,65 or older,No,Female,False,False,False,False,False,False,False,True,False,False,False
29,2023-09-15 11:20:36,2023-09-15 11:24:13,R_zdRiIOx6oTypqaR,Somewhat,Photography,Yes,No,none,No,2.0,2.0,2.0,,3.0,,2.0,65 or older,No,Male,False,False,False,False,False,False,True,False,False,False,False
30,2023-09-15 11:18:21,2023-09-15 11:24:22,R_dcyQJ6wuAADV5WV,Somewhat,Photography,Yes,No,AI art generally,No,3.0,1.0,,,,,1.0,65 or older,No,Female,False,False,False,True,False,False,False,False,False,False,False
31,2023-09-15 11:17:25,2023-09-15 11:25:58,R_1nUYeAdWw3fYj5y,Somewhat,paint,Yes,No,none,No,1.0,,2.0,,3.0,2.0,2.0,65 or older,No,Female,False,False,False,False,False,False,False,False,True,False,False
32,2023-09-15 11:24:49,2023-09-15 11:26:49,R_3ktdBXct7eOOd1s,Yes,Photography,Yes,No,AI art generally,Yes,3.0,3.0,3.0,,3.0,3.0,3.0,18 - 29,No,Male,False,False,False,False,False,False,False,True,False,False,False
33,2023-09-15 11:25:33,2023-09-15 11:28:50,R_2XpWRwvKwxwvIPg,Somewhat,writing,Yes,No,AI art generally,No,,1.0,1.0,,,2.0,2.0,30-49,No,Female,False,False,True,False,False,False,False,False,False,False,False
34,2023-09-15 11:29:38,2023-09-15 11:31:46,R_VWrmhbOO5SLeXrb,Yes,paint,Yes,Yes,AI_Deeplearning_GANS,Yes,,3.0,2.0,They should support one another,,2.0,,18 - 29,Yes,Male,False,False,False,False,False,True,False,False,False,False,False
35,2023-09-15 11:33:32,2023-09-15 11:36:03,R_2TRV2NUgNdH69Ly,Yes,paint,Yes,No,AI art generally,Yes,,1.0,1.0,,1.0,,,30-49,No,Non-binary,False,False,False,False,False,True,False,False,False,False,False
36,2023-09-15 11:34:05,2023-09-15 11:37:02,R_1q4WKgRpIZbzxst,Somewhat,paint,Yes,No,AI art generally,No,1.0,3.0,1.0,,3.0,1.0,3.0,30-49,No,Male,False,False,False,False,False,False,True,False,False,False,False
37,2023-09-15 11:33:23,2023-09-15 11:37:24,R_265OtoB7Z1Zf8wp,Somewhat,paint,Yes,No,AI art generally,Yes,2.0,1.0,,,2.0,3.0,1.0,18 - 29,No,Female,False,False,False,False,False,False,False,False,False,True,False
38,2023-09-15 11:33:48,2023-09-15 11:38:16,R_2w6IYVZ3crC9pH4,Somewhat,paint,Yes,No,AI art generally,No,1.0,1.0,1.0,,3.0,1.0,3.0,18 - 29,No,Female,True,False,False,False,False,False,False,False,False,False,False
39,2023-09-15 11:37:42,2023-09-15 11:40:15,R_ddp8UT7HscaukLv,Yes,paint,Yes,Yes,AI art generally,Yes,,,,,,,,30-49,No,Female,False,False,True,False,False,False,False,False,False,False,False
40,2023-09-15 11:36:35,2023-09-15 11:43:41,R_1kHNgbIp7sChfbN,Somewhat,Photography,No,No,none,No,3.0,3.0,3.0,,3.0,3.0,1.0,30-49,No,Female,False,False,False,False,False,False,False,False,True,False,False
41,2023-09-15 11:29:22,2023-09-15 11:45:41,R_2CQzq5S5m3DHCs2,Somewhat,paint,Yes,No,AI art generally,No,2.0,1.0,2.0,,,,,50-64,No,Female,False,False,True,False,False,False,False,False,False,False,False
42,2023-09-15 11:42:51,2023-09-15 11:48:15,R_2qjzq7n8wXmdc0g,Somewhat,paint,Yes,No,AI_Deeplearning_GANS,No,1.0,1.0,,,,,1.0,30-49,Yes,Male,False,False,False,True,False,False,False,False,False,False,False
43,2023-09-15 12:07:46,2023-09-15 12:10:02,R_yWOAo3PaSnNZB0B,Yes,paint,Yes,No,AI art generally,Yes,,,3.0,,,,1.0,30-49,No,Male,False,False,False,False,False,True,False,False,False,False,False
44,2023-09-15 12:14:12,2023-09-15 12:15:54,R_2cCUSZfCODpyCkU,Yes,Photography,Yes,Yes,AI_Deeplearning_GANS,No,3.0,3.0,3.0,,3.0,3.0,3.0,18 - 29,No,Male,False,False,False,False,False,False,False,False,True,False,False
45,2023-09-15 12:13:40,2023-09-15 12:16:39,R_10veEwN4kiiFdKi,Somewhat,paint,Yes,No,none,Yes,,2.0,,,,2.0,,30-49,No,Female,False,False,False,False,True,False,False,False,False,False,False
46,2023-09-15 12:15:12,2023-09-15 12:16:50,R_VVAiX1kp6qpDSHD,Yes,paint,Yes,Yes,AI art generally,Yes,3.0,3.0,3.0,It should support artists,3.0,3.0,3.0,30-49,Yes,Male,False,False,True,False,False,False,False,False,False,False,False
47,2023-09-15 12:15:22,2023-09-15 12:18:04,R_Z4Y1sgoQ56UhoUp,Yes,Photography,Yes,Yes,AI art generally,Yes,,3.0,,,,,3.0,30-49,Yes,Male,False,False,True,False,False,False,False,False,False,False,False
48,2023-09-15 12:19:04,2023-09-15 12:20:50,R_ypAWoa52yiZNlf3,Yes,Photography,Yes,No,none,None of the above,3.0,3.0,3.0,,3.0,3.0,3.0,18 - 29,No,Female,False,False,True,False,False,False,False,False,False,False,False
49,2023-09-15 12:14:01,2023-09-15 12:21:04,R_3kmLZT3PANOlzGn,Somewhat,Photography,Yes,No,AI art generally,No,1.0,1.0,1.0,,3.0,1.0,3.0,50-64,No,Male,False,False,False,False,False,False,False,False,True,False,False
50,2023-09-15 12:11:01,2023-09-15 12:21:28,R_2cjvC6UgtWaq2FP,Somewhat,Photography,Yes,No,AI_Deeplearning_GANS,Yes,,2.0,2.0,,,2.0,2.0,30-49,No,Male,False,False,False,False,True,False,False,False,False,False,False
51,2023-09-15 12:18:49,2023-09-15 12:21:41,R_3hhzi20I5Fa3XN3,Somewhat,Photography,Yes,No,none,No,3.0,3.0,3.0,,3.0,3.0,,30-49,No,Male,False,False,True,False,False,False,False,False,False,False,False
52,2023-09-15 12:14:19,2023-09-15 12:22:21,R_30o8GljnZHLtUFL,Somewhat,Photography,Yes,No,AI art generally,No,1.0,2.0,1.0,,3.0,1.0,3.0,18 - 29,Yes,Male,False,False,False,False,False,False,False,False,True,False,False
53,2023-09-15 12:20:44,2023-09-15 12:23:40,R_1k1yJReaCSneYT0,Yes,paint,Yes,No,AI art generally,Yes,3.0,3.0,3.0,,3.0,3.0,3.0,50-64,Yes,Male,False,False,True,False,False,False,False,False,False,False,False
54,2023-09-15 12:22:29,2023-09-15 12:24:41,R_3Rqrt6BSZJ4Jvct,Somewhat,Photography,Yes,No,AI art generally,No,1.0,1.0,,,1.0,,,30-49,Yes,Female,False,False,False,False,False,False,False,True,False,False,False
55,2023-09-15 12:24:02,2023-09-15 12:26:09,R_1nUdGrvQcz8NFDy,Yes,paint,Yes,Yes,AI art generally,No,1.0,1.0,1.0,,3.0,2.0,,30-49,No,Male,False,False,False,False,False,False,True,False,False,False,False
56,2023-09-15 12:22:40,2023-09-15 12:26:28,R_2flMn0gNsZEP9qA,Yes,paint,Yes,Yes,AI art generally,Yes,3.0,,3.0,,,3.0,,18 - 29,No,Male,False,False,False,False,True,False,False,False,False,False,False
57,2023-09-15 12:22:38,2023-09-15 12:26:51,R_1PbhNqn7TaeleTv,Somewhat,Photography,No,No,AI art generally,No,,,2.0,,,,2.0,30-49,No,Male,False,False,True,False,False,False,False,False,False,False,False
58,2023-09-15 12:23:00,2023-09-15 12:27:55,R_O3eNNhUMMcFZQDn,Somewhat,Photography,No,No,AI_Deeplearning_GANS,No,,,,,,,,30-49,Yes,Male,False,False,False,True,False,False,False,False,False,False,False
59,2023-09-15 12:27:40,2023-09-15 12:29:24,R_3IaSrJFybiqPbbE,Yes,paint,Yes,Yes,AI art generally,Yes,,3.0,2.0,,,3.0,,18 - 29,Yes,Male,False,False,True,False,False,False,False,False,False,False,False
